No.,Longitude,Latitude,Climate,MAT (C),MAP(mm),Ecosystem,Restoration time (years),Soil depth (cm),Ambient SOC(g kg-1),lnRR.SOC,lnRR.TN,lnRR.TP,lnRR.AN,lnRR.AP,lnRR.MBC,lnRR.MBN,lnRR.MBP,lnRR.invertase,lnRR.urease,lnRR.catalase,lnRR.phosphatase
161,104.42,36.03,Temperate,6.2,320,Non-forest,20,10,4.89,0.034,-0.2463,-0.1593,,-1.1973,-0.3803,,,,,,
162,103.78,36.22,Temperate,8.4,263,Non-forest,6,5,6.05,0.183,0.1252,,,,,,,,,,
163,103.78,36.22,Temperate,8.4,263,Non-forest,6,15,5.6,0.0902,0.042,,,,,,,,,,
164,103.78,36.22,Temperate,8.4,263,Non-forest,6,30,3.89,0.0268,0.0328,,,,,,,,,,
165,103.78,36.22,Temperate,8.4,263,Non-forest,6,50,4.57,0.0885,-0.0572,,,,,,,,,,
166,103.78,36.22,Temperate,8.4,263,Non-forest,6,70,3.15,0.0084,-0.066,,,,,,,,,,
167,103.78,36.22,Temperate,8.4,263,Non-forest,6,90,2.78,0.0282,-0.0741,,,,,,,,,,
168,103.78,36.22,Temperate,8.4,263,Non-forest,9,5,6.05,0.2767,0.2151,,,,,,,,,,
169,103.78,36.22,Temperate,8.4,263,Non-forest,9,15,5.6,-0.0095,-0.029,,,,,,,,,,
170,103.78,36.22,Temperate,8.4,263,Non-forest,9,30,3.89,-0.0346,-0.1054,,,,,,,,,,
171,103.78,36.22,Temperate,8.4,263,Non-forest,9,50,4.57,-0.1294,-0.0377,,,,,,,,,,
172,103.78,36.22,Temperate,8.4,263,Non-forest,9,70,3.15,0.1335,0.0619,,,,,,,,,,
173,103.78,36.22,Temperate,8.4,263,Non-forest,9,90,2.78,0.0822,0.0235,,,,,,,,,,
174,104.65,35.57,Temperate,6.4,427,Non-forest,25,10,6.32,0.6414,0.47,0.07,,-0.8775,,,,,,,
175,104.65,35.57,Temperate,6.4,427,Non-forest,25,10,6.32,0.9646,0.5878,0.1226,,1.7563,,,,,,,
176,104.65,35.57,Temperate,6.4,427,Non-forest,8,10,6.32,0.6793,0.5306,-0.0597,,0.1921,,,,,,,
177,104.65,35.57,Temperate,6.4,427,Non-forest,25,30,4.93,0.6633,0.3677,-0.058,,-1.123,,,,,,,
178,104.65,35.57,Temperate,6.4,427,Non-forest,25,30,4.93,0.8355,0.3677,-0.058,,1.3248,,,,,,,
179,104.65,35.57,Temperate,6.4,427,Non-forest,8,30,4.93,0.7278,0.2877,-0.0286,,0.0262,,,,,,,
180,104.65,35.57,Temperate,6.4,427,Forest,25,10,6.32,0.7158,0.4055,0.0426,,0.8682,,,,,,,
181,104.65,35.57,Temperate,6.4,427,Forest,25,30,4.93,0.6633,0.4418,-0.0432,,0.6155,,,,,,,
182,104.75,35.47,Temperate,6.4,390.9,Forest,6,35,3.9,0.251,0.2069,0.0094,-0.5338,0.0405,,,,,,,
183,104.75,35.47,Temperate,6.4,390.9,Non-forest,6,35,3.9,0.0985,0.0171,0.0694,-0.812,-0.3665,,,,,,,
184,104.22,35.3,Temperate,6.4,415,Non-forest,3,2.5,2.49,0.1559,0.1178,,,,,,,,,,
185,104.22,35.3,Temperate,6.4,415,Non-forest,5,2.5,2.49,0.3319,0.2877,,,,,,,,,,
186,104.22,35.3,Temperate,6.4,415,Non-forest,8,2.5,2.49,0.5276,0.4595,,,,,,,,,,
187,104.22,35.3,Temperate,6.4,415,Non-forest,3,7.5,2.53,0.0311,0.0408,,,,,,,,,,
188,104.22,35.3,Temperate,6.4,415,Non-forest,5,7.5,2.53,0.1365,0.1178,,,,,,,,,,
189,104.22,35.3,Temperate,6.4,415,Non-forest,8,7.5,2.53,0.2192,0.2231,,,,,,,,,,
190,104.22,35.3,Temperate,6.4,415,Non-forest,3,15,2.46,0.0241,0,,,,,,,,,,
191,104.22,35.3,Temperate,6.4,415,Non-forest,5,15,2.46,0.0476,0.0426,,,,,,,,,,
192,104.22,35.3,Temperate,6.4,415,Non-forest,8,15,2.46,0.0857,0.0426,,,,,,,,,,
193,104.75,35.47,Temperate,6.4,390.9,Non-forest,6,35,3.9,0.121,0.1292,0.0057,-0.8308,-0.2634,,,,,,,
