No.,Studies,Author.year,Longitude(o),Latitude(o),MAT (°„C),MAP(mm),Ecosystem,Restoration time (year),Soil depth (cm),ambient SOC(g kg-1),lnRR.SOC,lnRR.TN,lnRR.TP,lnRR.AN,lnRR.AP,lnRR.MBC,lnRR.MBN,lnRR.MBP,lnRR.invertase,lnRR.urease,lnRR.catalase,lnRR.phosphatase
115,21,Jiang 2006,104.42,36.03,6.2,320,Non-forest,3,10,9.08,-0.3236,-0.0072,0.3879,NA,0.2057,-0.1082,0.6128,NA,NA,NA,NA,NA
116,21,Jiang 2006,104.42,36.03,6.2,320,Non-forest,7,10,9.08,-0.2995,0.0488,0.2325,NA,-0.1481,0.0318,0.3757,NA,NA,NA,NA,NA
117,21,Jiang 2006,104.42,36.03,6.2,320,Non-forest,13,10,9.08,-0.5346,0.0071,0.116,NA,-0.3721,0.422,0.5235,NA,NA,NA,NA,NA
118,21,Jiang 2006,104.42,36.03,6.2,320,Non-forest,19,10,9.08,-0.5252,-0.0664,0.1749,NA,-0.0837,0.456,0.6808,NA,NA,NA,NA,NA
119,21,Jiang 2006,104.42,36.03,6.2,320,Non-forest,23,10,9.08,-0.0122,-0.1459,0.2137,NA,-0.0189,0.4065,0.9216,NA,NA,NA,NA,NA
120,21,Jiang 2006,104.42,36.03,6.2,320,Non-forest,2,40,6.66,0.0164,0.2248,NA,NA,0.1102,NA,NA,NA,NA,NA,NA,NA
121,21,Jiang 2006,104.42,36.03,6.2,320,Non-forest,3,40,6.66,0.3729,-0.0247,NA,NA,0.1914,NA,NA,NA,NA,NA,NA,NA
122,21,Jiang 2006,104.42,36.03,6.2,320,Non-forest,7,40,6.66,-0.1263,0.1645,NA,NA,-0.0391,NA,NA,NA,NA,NA,NA,NA
123,21,Jiang 2006,104.42,36.03,6.2,320,Non-forest,13,40,6.66,-0.5048,0.1223,NA,NA,-0.1272,NA,NA,NA,NA,NA,NA,NA
124,21,Jiang 2006,104.42,36.03,6.2,320,Non-forest,19,40,6.66,-0.5098,0.2441,NA,NA,0.0601,NA,NA,NA,NA,NA,NA,NA
125,21,Jiang 2006,104.42,36.03,6.2,320,Non-forest,23,40,6.66,0.1161,-0.0415,NA,NA,0.0983,NA,NA,NA,NA,NA,NA,NA
126,21,Jiang 2006,104.42,36.03,6.2,320,Non-forest,2,80,4.34,0.7,0.0369,NA,NA,0.0736,NA,NA,NA,NA,NA,NA,NA
127,21,Jiang 2006,104.42,36.03,6.2,320,Non-forest,3,80,4.34,1.0729,-0.0946,NA,NA,-0.0899,NA,NA,NA,NA,NA,NA,NA
128,21,Jiang 2006,104.42,36.03,6.2,320,Non-forest,7,80,4.34,0.635,0.1722,NA,NA,0.2152,NA,NA,NA,NA,NA,NA,NA
129,21,Jiang 2006,104.42,36.03,6.2,320,Non-forest,13,80,4.34,-0.3268,0.1335,NA,NA,-0.3766,NA,NA,NA,NA,NA,NA,NA
130,21,Jiang 2006,104.42,36.03,6.2,320,Non-forest,19,80,4.34,0.1998,0.1269,NA,NA,-0.011,NA,NA,NA,NA,NA,NA,NA
131,21,Jiang 2006,104.42,36.03,6.2,320,Non-forest,23,80,4.34,0.3869,-0.0863,NA,NA,-0.1594,NA,NA,NA,NA,NA,NA,NA
132,21,Guo 2010,104.42,36.03,6.2,320,Non-forest,1,10,8.36,-0.0193,-0.0225,-1.2039,NA,-2.3786,NA,NA,NA,NA,NA,NA,NA
133,21,Guo 2010,104.42,36.03,6.2,320,Non-forest,2,10,8.36,0.227,0.2793,-0.0319,NA,-1.457,NA,NA,NA,NA,NA,NA,NA
134,21,Guo 2010,104.42,36.03,6.2,320,Non-forest,3,10,8.36,0.1801,0.1349,-0.2933,NA,0.2401,NA,NA,NA,NA,NA,NA,NA
135,21,Guo 2010,104.42,36.03,6.2,320,Non-forest,4,10,8.36,0.0072,0.022,-0.026,NA,-0.6146,NA,NA,NA,NA,NA,NA,NA
136,21,Guo 2010,104.42,36.03,6.2,320,Non-forest,5,10,8.36,0.197,0.173,-0.1915,NA,-0.2095,NA,NA,NA,NA,NA,NA,NA
137,21,Jiang 2007,104.42,36.03,6.2,320,Non-forest,3,10,5.48,0.5669,0.7171,NA,NA,0.0885,1.3365,1.0726,NA,0.3312,0.2008,0.3939,NA
138,21,Jiang 2007,104.42,36.03,6.2,320,Non-forest,5,10,5.48,0.4983,0.7012,NA,NA,0.0872,1.2535,0.9856,NA,0.2652,0.1357,0.2494,NA
